Salary,Hits,Years,AtBat,HmRun,Runs,RBI,Walks,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,NewLeague
275,96,4,339,4,37,29,23,1064,290,11,123,108,55,A,W,104,213,9,A
275,39,14,160,8,18,31,22,2128,543,56,304,268,298,A,E,33,3,0,A
277.5,147,10,537,23,58,88,47,2744,730,97,302,351,174,N,E,92,257,20,N
277.5,69,4,279,4,35,31,32,1359,355,31,180,148,158,N,E,133,173,9,N
286.667,43,7,205,2,24,17,20,854,219,12,105,99,71,N,E,131,6,1,N
297.5,54,5,220,10,30,39,31,1185,299,40,145,154,128,N,E,50,136,20,N
300,49,7,204,6,23,25,12,1309,308,27,126,132,66,A,W,419,46,5,A
300,115,3,415,27,97,71,68,711,184,45,156,119,99,N,W,274,2,7,N
300,92,6,404,11,54,49,18,1354,325,30,188,135,63,A,E,222,5,5,A
300,85,7,344,24,69,64,88,911,214,64,150,156,187,A,W,0,0,0,A
300,96,5,357,7,50,45,39,1394,344,43,178,192,136,A,W,167,2,4,A
305,68,6,254,2,28,26,22,999,236,21,108,117,118,A,E,359,30,4,A
320,81,17,311,3,42,30,26,8247,2198,100,950,909,690,N,W,153,223,10,N
325,103,6,388,15,59,47,39,2174,555,80,285,274,186,A,W,182,9,4,A
325,70,18,278,7,22,37,18,7186,2081,190,935,1088,643,A,W,0,0,0,A
326.667,103,8,368,3,48,28,54,1897,493,9,207,162,198,N,W,209,246,3,N
340,58,4,244,9,28,25,35,1335,333,49,164,179,194,N,W,142,14,2,N
341.667,63,10,288,3,25,33,16,2682,667,38,315,259,204,A,W,135,257,7,A
341.667,76,8,281,3,42,25,20,2658,657,48,324,300,179,A,E,106,144,7,A
350,93,5,369,9,43,42,49,1258,323,54,181,177,157,A,E,149,1,6,A
350,122,4,528,1,67,45,51,1716,403,12,211,146,155,A,W,209,372,17,A
350,213,4,687,10,91,65,27,1518,448,15,196,137,89,A,E,294,445,13,A
362.5,85,8,327,3,30,44,20,2140,568,16,216,208,93,A,E,91,185,12,A
365,70,15,210,13,32,51,28,4040,1130,97,544,462,551,A,E,0,0,0,A
365,223,3,680,31,119,96,34,1928,587,35,262,201,91,A,W,429,8,6,A
375,49,8,233,2,41,23,18,1350,336,7,166,122,106,A,E,102,132,10,A
385,76,5,325,16,33,52,37,1506,351,71,195,219,214,N,W,726,87,3,A
385,126,6,475,3,61,43,52,1700,433,7,217,93,146,A,W,37,113,7,A
400,139,5,539,5,93,58,69,1469,369,12,247,126,198,A,W,462,9,7,A
400,84,5,340,11,62,33,47,1516,376,42,284,141,219,N,E,185,8,4,A
400,68,18,327,13,42,29,45,3949,939,78,438,380,466,A,E,659,53,7,A
400,52,12,205,8,31,27,17,5134,1323,56,643,445,459,A,E,155,3,2,A
415,102,6,405,18,49,85,20,950,231,29,99,138,64,N,W,161,10,3,N
416.667,78,12,313,6,32,41,12,3742,968,35,409,321,170,N,W,106,206,7,N
420,157,10,584,20,95,73,63,4704,1320,93,724,522,576,A,E,276,421,11,A
425,82,5,376,21,42,60,35,1770,408,115,238,299,157,A,W,0,0,0,A
425,68,7,265,8,26,30,29,1337,339,32,135,163,128,N,W,92,5,3,A
425,113,5,441,5,76,52,76,1546,397,17,226,149,191,A,W,160,290,11,A
430,103,15,343,6,48,36,40,4338,1193,70,581,421,325,A,E,211,56,13,A
431.5,83,5,314,13,39,46,16,1457,405,28,156,159,76,A,W,533,40,4,A
450,70,15,255,7,49,35,43,6311,1661,154,1019,608,820,N,E,51,54,8,N
450,47,11,184,5,20,28,18,3327,890,74,419,382,304,N,W,49,2,0,N
450,83,14,313,9,43,41,30,5885,1543,104,751,714,535,N,W,58,141,23,N
450,77,12,271,5,35,29,33,4933,1358,48,630,435,403,A,W,62,90,3,A
450,90,10,348,11,50,45,43,2288,614,43,295,273,269,A,E,60,176,6,A
475,81,14,315,7,24,38,39,3449,835,69,321,414,375,N,W,632,43,10,N
475,114,4,458,13,67,57,48,1350,298,28,160,123,122,A,W,246,389,18,A
475,159,6,530,3,82,50,47,1619,426,11,218,149,163,A,W,196,354,15,A
480,130,3,479,18,66,72,76,1624,457,63,224,266,263,A,W,880,82,14,A
487.5,101,20,419,18,65,58,92,9528,2510,548,1509,1659,1342,A,W,0,0,0,A
490,110,7,424,15,70,47,36,2130,544,38,335,174,258,N,W,292,6,3,N
500,141,11,496,20,65,78,37,5628,1575,225,828,838,354,N,E,200,11,3,N
500,78,5,282,13,37,51,29,1649,453,73,211,280,138,A,W,670,57,5,A
500,145,11,486,11,51,76,40,3967,1102,67,410,497,284,N,E,88,204,16,A
500,32,19,127,4,14,25,12,8396,2402,242,1048,1348,819,N,W,167,18,6,N
512.5,53,9,202,4,31,26,27,1876,467,15,192,186,161,N,W,304,45,11,N
517.143,159,10,574,21,107,75,59,4631,1300,90,702,504,488,A,E,238,445,22,A
525,141,15,491,11,77,47,37,4291,1240,84,615,430,340,A,E,239,8,2,A
525,81,7,360,5,37,44,37,2268,566,41,279,257,246,N,E,170,284,3,N
530,169,8,562,17,88,73,53,3181,841,61,450,342,373,A,E,351,442,17,A
535,122,18,507,29,78,85,91,7761,1947,347,1175,1152,1380,A,E,808,108,2,A
535,94,9,408,4,42,36,66,3573,866,59,429,365,410,N,W,282,487,19,N
550,113,4,418,13,48,61,47,1512,392,41,205,204,203,N,E,211,11,7,N
550,131,6,442,18,68,77,33,1416,398,47,210,203,136,A,E,233,7,7,A
550,124,7,387,1,67,27,36,1775,506,6,272,125,194,N,E,186,290,17,N
560,110,9,341,9,45,49,46,2331,658,50,249,322,274,A,E,251,9,4,A
575,179,5,625,4,94,60,65,1696,476,12,216,163,166,A,E,303,450,14,A
580,154,6,473,6,61,48,29,1966,566,29,250,252,178,A,E,846,84,9,A
587.5,128,13,464,28,67,94,52,5829,1552,210,740,840,452,A,W,0,0,0,A
595,119,12,382,13,54,58,36,2133,594,41,287,294,227,N,W,59,156,9,N
600,116,6,472,16,60,62,74,1924,489,67,242,251,240,N,W,518,55,3,N
600,83,9,329,9,50,39,56,3828,948,145,575,528,635,A,W,276,6,2,A
600,120,8,380,5,54,51,31,3118,900,92,444,419,240,A,W,237,8,1,A
600,94,13,309,5,37,32,26,4618,1330,57,616,522,436,N,E,161,3,3,N
612.5,168,5,583,17,83,80,56,1646,452,44,219,208,136,A,E,109,292,25,A
625,152,5,550,6,92,37,81,2308,633,32,349,182,308,N,W,262,329,16,N
625,161,4,560,26,89,96,66,1789,470,65,233,260,155,N,W,332,9,8,N
630,184,5,591,20,83,79,38,1689,462,40,219,195,82,N,W,303,12,5,N
640,157,4,591,16,90,78,26,2020,541,52,310,226,91,N,E,290,440,25,N
650,65,9,288,8,30,36,27,2815,698,55,315,325,189,N,E,259,30,10,A
657,174,6,579,7,67,78,58,3053,880,32,366,337,218,N,E,280,479,5,N
662.5,158,5,584,15,70,84,42,2358,636,58,265,316,134,N,E,331,20,4,N
670,77,6,330,19,47,53,27,1928,516,90,247,288,161,N,W,149,8,6,N
675,101,12,403,12,45,53,39,5150,1429,166,747,666,526,A,E,316,6,5,A
700,60,6,239,0,30,11,22,1941,510,4,309,103,207,A,E,121,151,6,A
700,77,16,283,14,45,47,26,6840,1910,259,915,1067,546,A,W,144,6,5,A
700,148,13,490,14,64,78,49,3400,1000,113,445,491,301,A,E,0,0,0,N
700,80,7,359,15,45,48,63,1493,359,61,176,202,175,N,W,682,93,13,N
700,127,5,497,7,65,48,37,2703,806,32,379,311,138,N,E,325,9,3,N
708.333,73,7,324,4,32,18,22,1931,491,13,291,108,180,N,E,222,3,3,N
725,136,10,503,5,62,48,83,3423,970,20,408,303,414,N,W,65,258,8,N
733.333,96,15,370,21,49,46,60,6986,1972,231,1070,955,921,N,E,137,5,9,N
737.5,126,11,510,2,42,44,35,5562,1578,44,703,519,256,N,W,207,358,20,N
737.5,74,10,283,4,34,29,22,3919,1062,85,505,456,283,N,W,145,5,7,N
740,178,6,627,14,68,76,46,3146,902,74,494,345,242,N,E,309,492,5,N
740,113,12,459,20,59,57,68,5348,1369,155,713,660,735,A,W,0,0,0,A
740,211,5,642,14,107,59,52,2364,770,27,352,230,193,N,W,337,19,4,N
750,169,11,594,4,74,51,35,4408,1133,19,501,336,194,A,W,282,421,25,A
750,129,10,474,10,50,56,40,2331,604,61,246,327,166,N,W,732,83,13,N
750,154,14,566,22,76,84,43,6100,1583,131,743,693,300,A,W,316,439,10,A
750,104,7,306,14,50,58,25,2954,822,55,313,377,187,N,E,116,222,15,N
750,163,4,526,12,88,50,77,1556,470,38,245,167,174,A,W,250,11,1,A
750,52,24,237,0,15,25,30,14053,4256,160,2165,1314,1566,N,W,523,43,6,N
750,135,9,523,8,52,44,52,3368,895,39,377,284,296,N,W,367,475,19,N
750,112,7,480,18,50,71,44,3031,771,110,338,406,239,N,E,94,270,16,N
765,163,6,587,4,92,51,70,2695,747,17,442,198,317,A,E,434,9,3,A
773.333,133,17,479,10,48,72,55,7472,2147,153,980,1032,854,N,W,237,5,4,N
775,158,15,568,20,89,75,73,8068,2273,177,1045,993,732,N,W,105,290,10,N
775,183,5,599,10,80,74,32,2482,715,27,330,326,158,A,E,231,374,18,A
776.667,168,18,629,18,73,102,40,8424,2464,164,1008,1072,402,A,E,1067,157,14,A
780,131,7,489,19,77,55,34,2051,549,62,300,263,153,A,W,310,9,9,A
787.5,149,7,589,21,89,86,64,3558,928,102,513,471,351,A,E,371,6,6,A
800,84,10,327,22,53,62,38,4273,1123,212,577,700,334,A,E,483,48,6,N
800,110,7,381,9,61,45,32,3015,834,40,451,249,168,N,E,228,7,5,N
815,146,6,526,13,71,70,84,2648,715,77,352,342,289,N,W,303,9,9,N
825,91,13,429,12,41,42,57,5590,1397,83,578,579,644,A,W,686,46,4,N
850,106,14,379,10,38,60,30,6207,1906,146,859,803,571,N,W,72,170,24,N
850,131,14,512,26,69,96,52,5347,1397,221,712,815,548,A,W,119,216,12,A
850,119,9,424,6,57,46,13,3651,1046,32,461,301,112,A,E,224,286,8,N
850,136,11,497,7,58,38,26,3871,1066,40,450,367,241,A,E,304,347,10,A
875,101,17,457,14,42,63,22,6521,1767,281,1003,977,619,A,W,389,39,4,A
875,94,7,374,5,36,26,62,1968,519,26,181,199,288,N,W,756,64,15,N
875,119,7,496,8,57,33,21,3358,882,36,365,280,165,N,W,155,371,29,N
875,136,12,492,5,76,50,94,5511,1511,39,897,451,875,A,E,313,381,20,A
900,137,14,513,20,90,95,90,5201,1382,166,763,734,784,A,W,267,5,3,A
900,171,6,596,34,91,108,52,2862,728,107,361,401,224,A,W,118,334,21,A
900,42,10,172,3,17,14,15,4086,1150,57,579,363,406,N,W,65,0,0,N
920,4,1,19,1,2,3,1,19,4,1,2,3,1,N,W,692,70,8,A
925,141,8,559,2,48,61,73,3162,874,16,421,349,359,N,E,352,414,9,N
933.333,137,15,529,26,86,97,97,6661,1785,291,1082,949,989,A,E,280,10,5,A
940,152,6,593,23,69,75,53,2765,686,133,369,384,321,A,W,315,10,6,A
950,139,17,585,31,93,94,62,7546,1982,315,1141,1179,727,A,E,0,0,0,A
950,169,7,570,21,72,88,38,3754,1077,140,492,589,263,A,W,295,15,5,A
960,144,8,573,9,85,60,78,3198,857,97,470,420,332,A,E,1314,131,12,A
1000,150,14,490,21,69,58,35,6126,1839,121,983,707,600,A,E,96,5,3,N
1000,163,13,522,9,82,46,62,7037,2019,153,1043,827,535,A,E,352,9,1,A
1000,170,11,631,9,77,44,31,4908,1457,30,775,357,249,A,W,408,4,3,A
1008.333,132,6,528,21,61,74,41,2641,671,97,273,383,226,N,E,885,105,8,N
1041.667,174,14,637,31,89,116,56,6727,2024,247,978,1093,495,N,W,278,9,9,N
1043.333,159,9,586,12,72,79,53,3082,880,83,363,477,295,N,E,181,13,4,N
1050,70,16,256,13,42,36,44,7058,1845,312,965,1128,990,N,E,41,118,8,A
1100,92,13,401,17,49,66,65,5206,1332,253,784,890,866,A,E,0,0,0,A
1150,147,7,510,10,56,52,53,2872,821,63,307,340,174,N,E,810,99,18,N
1175,198,5,641,31,101,108,41,2129,610,92,297,319,117,A,E,269,17,10,A
1183.333,127,7,484,20,66,65,67,3006,844,116,436,458,377,N,E,1231,80,7,N
1200,168,9,591,19,80,72,39,4478,1307,113,634,563,319,A,W,67,147,4,A
1220,123,4,475,27,76,93,72,1810,471,108,292,343,267,N,E,226,10,6,N
1237.5,170,6,589,40,107,108,69,2325,634,128,371,376,238,A,E,368,20,3,A
1260,123,9,437,9,62,55,40,4139,1203,79,676,390,364,A,E,82,170,15,A
1300,55,12,232,9,34,23,45,4405,1213,194,702,705,625,N,E,623,35,3,N
1300,118,8,441,28,84,86,68,2723,750,126,433,420,309,A,E,190,2,2,A
1300,186,6,610,19,107,98,74,2728,753,69,399,366,286,N,E,1182,96,13,N
1310,147,6,550,29,85,91,71,2816,815,117,405,474,319,A,W,1218,104,10,A
1350,177,6,627,25,98,81,70,3210,927,133,529,472,313,A,E,240,482,13,A
1450,142,18,557,21,58,81,23,8759,2583,271,1138,1299,478,N,W,1160,53,7,N
1500,128,14,441,16,70,73,80,6675,2095,209,1072,1050,695,A,W,97,218,16,A
1600,207,5,580,8,107,71,105,2778,978,32,474,322,417,A,E,121,267,19,A
1670,160,8,608,28,130,74,89,4071,1182,103,862,417,708,A,E,426,4,6,A
1800,171,13,551,13,94,83,94,6090,1840,128,969,900,917,N,E,1199,149,5,N
1861.46,148,14,565,24,90,104,77,7287,2083,305,1135,1234,791,A,E,292,9,5,A
1900,163,11,614,29,89,83,75,5017,1388,266,813,822,617,N,W,303,6,6,N
1925.571,125,13,490,24,81,105,62,6063,1646,271,847,999,680,N,E,869,62,8,N
1940,144,9,514,0,67,54,79,4739,1169,13,583,374,528,N,E,229,453,15,N
1975,238,5,677,31,117,113,53,2223,737,93,349,401,171,A,E,1377,100,6,A
2127.333,1,2,20,0,0,0,0,41,9,2,6,7,4,N,E,78,220,6,N
2412.5,200,13,618,20,98,110,62,7127,2163,351,1104,1289,564,A,E,330,16,8,A
2460,151,10,495,17,61,84,78,5624,1679,275,884,1015,709,A,E,1045,88,13,A
